openalex_id,level,parent_3,parent_2,parent_1,display_name,journals_count
C173758957,2,,Biology,Botany,Larva,13
C135628077,2,,Engineering,Structural engineering,Finite element method,13
C132525143,2,,Mathematics,Combinatorics,Graph,13
C2780827179,2,,Biology,Biochemistry,Retinal,13
C2777575956,2,,Biology,Immunology,Rheumatoid arthritis,13
C199033989,2,,Philosophy,Linguistics,Narrative,12
C151719136,2,,Political science,Law,Publishing,12
C2780378061,2,,Economics,Economy,Service (business),12
C159750122,2,,Biology,Ecology,Soil water,12
C199521495,2,,Business,Accounting,Audit,12
C509974204,2,,Medicine,Internal medicine,Radiation therapy,12
C87976508,2,,Materials science,Composite material,Microstructure,12
C520434653,2,,Physics,Optics,Laser,11
C134362201,2,,Medicine,Psychiatry,Mental health,11
C169437150,2,,Political science,Law,Human rights,11
C17525397,2,,Chemistry,Physical chemistry,Electrode,11
C2778818304,2,,Biology,Neuroscience,Rehabilitation,11
C2777351106,2,,Political science,Law,Legislation,11
C170493617,2,,Biology,Biochemistry,Receptor,11
C519580073,2,,Art,Art history,Movie theater,10
C502338164,2,,Philosophy,Linguistics,Lithuanian,10
C3019281177,2,,History,Ancient history,South asia,10
C2779306644,2,,Biology,Biotechnology,Insulin,10
C2778653478,2,,Biology,Endocrinology,Kidney disease,10
C511355011,2,,Biology,Endocrinology,Obesity,10
C39896193,2,,Mathematics,Statistics,Descriptive statistics,10
C2779357621,2,,Environmental science,Environmental planning,Tanzania,10
C202751555,2,,Biology,Biochemistry,In vitro,9
C2780026712,2,,Materials science,Composite material,Alloy,9
C143409427,2,,Medicine,Radiology,Magnetic resonance imaging,9
C197321923,2,,Biology,Agronomy,Cultivar,9
C2778738651,2,,Psychology,Social psychology,Novelty,9
C27415008,2,,Medicine,Nursing,Psychological intervention,9
C110875604,2,,Computer science,Operating system,The Internet,9
C2779473830,2,,Biology,Biochemistry,MEDLINE,9
C2781121862,2,,Philosophy,Linguistics,Turkish,9
C113196181,2,,Chemistry,Chromatography,Analytical Chemistry (journal),9
C77411442,2,,Biology,Anatomy,Urinary system,9
C71315377,2,,Biology,Biochemistry,Hormone,9
C2911091166,2,,Medicine,Internal medicine,Transplantation,9
C47177190,2,,Economics,Economic growth,Curriculum,8
C71640776,2,,Biology,Botany,Taxon,8
C501593827,2,,Biology,Biochemistry,Antibiotics,8
C110872660,2,,Biology,Ecology,Ecosystem,8
C58642233,2,,Biology,Botany,Taxonomy (biology),8
C522805319,2,,Biology,Neuroscience,Electroencephalography,8
C2779530757,2,,Philosophy,Epistemology,Quality (philosophy),8
C547764534,2,,Economics,Economic growth,Literacy,8
C115961682,2,,Computer science,Artificial intelligence,Image (mathematics),8
C147483822,2,,Biology,Genetics,Antigen,8
C84309077,2,,Business,Finance,Entrepreneurship,8
C2777904410,2,,Computer science,Operating system,Software,7
